SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low
132,NGPL,Ngadi Group Power Limited,29.85,290.00,294.80,282.00,282.00,285.76,"152,725.00",289.20,"43,643,430.50",696,-7.20,12.80,-2.49,4.54,-1.34,244.99,305.79,704.50,185.20
133,NHDL,Nepal Hydro Developer Limited,32.45,393.90,395.10,378.50,388.00,384.35,"6,821.00",387.40,"2,621,634.20",51,0.60,16.60,0.15,4.39,0.94,351.52,358.00,585.00,294.00
134,NHPC,National Hydro Power Company Limited,32.55,252.90,252.90,244.00,244.00,247.31,"98,144.00",250.00,"24,271,625.30",358,-6.00,8.90,-2.40,3.65,-1.36,224.56,232.63,445.00,176.40
135,NIBD84,8.5% Nepal Investment Bank Bond 2084,36.10,760.10,760.10,760.10,760.10,760.10,25.00,753.40,"19,002.50",1,6.70,0.00,0.89,0.00,0.00,0.00,0.00,946.00,753.40
136,NIBLPF,NIBL Pragati Fund,32.86,8.62,8.62,8.62,8.62,8.62,"1,465.00",8.75,"12,628.30",2,-0.13,0.00,-1.49,0.00,0.00,8.58,9.15,11.74,7.78
137,NIBSF2,NIBL Samriddhi Fund - 2,39.91,7.60,7.75,7.60,7.65,7.63,"8,532.00",7.55,"65,084.76",11,0.10,0.15,1.32,1.97,0.28,7.47,7.69,9.49,6.74
138,NICA,NIC Asia Bank Limited,31.78,810.00,818.00,810.00,811.50,813.32,"45,965.00",817.00,"37,384,423.40",300,-5.50,8.00,-0.67,0.99,-0.22,696.39,699.74,861.90,600.30
139,NICAD8283,11% NIC Asia Debenture 2082/83,35.95,932.20,932.20,931.10,931.10,931.41,100.00,930.10,"93,141.00",3,1.00,1.10,0.11,0.12,-0.03,"1,017.45","1,055.52","1,087.70",927.50
140,NICBF,NIC ASIA Balanced Fund,36.08,8.53,8.60,8.53,8.60,8.60,"12,430.00",8.70,"106,891.00",5,-0.10,0.07,-1.15,0.82,0.01,9.51,9.85,11.36,8.23
141,NICFC,NIC Asia Flexi Cap Fund,40.13,7.97,8.16,7.97,8.01,8.01,"2,300.00",8.06,"18,416.00",16,-0.05,0.19,-0.62,2.38,0.04,0.00,0.00,10.00,7.30
142,NICL,Nepal Insurance Company Limited,51.37,530.00,535.00,519.00,523.00,523.05,"17,433.00",530.00,"9,118,278.30",137,-7.00,16.00,-1.32,3.08,-0.01,449.90,458.94,934.00,385.10
143,NICLBSL,NIC Asia Laghubitta Bittiya Sanstha Limited,38.03,714.00,730.00,710.50,718.00,721.79,"5,624.00",725.00,"4,059,357.00",140,-7.00,19.50,-0.97,2.74,-0.53,769.30,803.93,"1,178.00",687.30
144,NICSF,NIC Asia Select-30,39.27,8.01,8.05,7.89,7.89,7.95,"33,500.00",8.05,"266,158.72",17,-0.16,0.16,-1.99,2.03,-0.70,7.99,8.11,9.42,7.44
145,NIFRA,Nepal Infrastructure Bank Limited,28.71,220.00,224.90,219.00,220.30,220.81,"90,175.00",221.90,"19,911,564.70",808,-1.60,5.90,-0.72,2.69,-0.23,209.83,224.03,384.00,176.90
146,NIL,Neco Insurance Limited,35.03,766.00,771.00,757.00,760.00,763.34,"11,417.00",766.20,"8,715,068.30",78,-6.20,14.00,-0.81,1.85,-0.44,731.79,721.53,"1,214.50",601.00
