SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low
99,LICN,Life Insurance Corporation Nepal Limited,26.51,"1,292.00","1,300.00","1,275.10","1,285.00","1,288.15",972.00,"1,292.00","1,252,079.00",17,-7.00,24.90,-0.54,1.95,-0.24,"1,391.07","1,396.41","1,935.00","1,065.00"
100,LLBS,Laxmi Laghubitta Bittiya Sanstha Limited,33.31,691.00,695.00,673.40,695.00,680.41,"1,231.00",700.00,"837,582.00",17,-5.00,21.60,-0.71,3.21,2.10,"1,012.37","1,102.91","1,506.00",655.10
101,LUK,Laxmi Unnati Kosh,27.52,8.00,8.14,7.96,8.14,8.06,"2,200.00",8.04,"17,735.00",5,0.10,0.18,1.24,2.26,0.97,8.09,8.36,10.43,7.52
102,MBJC,Madhya Bhotekoshi Jalavidyut Company Limited,27.95,305.10,312.00,305.10,307.90,307.32,"9,793.00",308.00,"3,009,563.00",284,-0.10,6.90,-0.03,2.26,0.19,266.15,257.24,340.00,193.30
103,MBL,Machhapuchchhre Bank Limited,37.11,226.10,227.00,223.10,224.00,224.89,"19,902.00",225.00,"4,475,787.80",103,-1.00,3.90,-0.44,1.75,-0.40,227.11,229.15,291.00,199.00
104,MBLD2085,10.25% Machhapuchchhre Debenture 2085,30.70,937.00,940.00,937.00,940.00,938.71,70.00,956.00,"65,710.00",2,-16.00,3.00,-1.67,0.32,0.14,0.00,0.00,"1,101.10",937.00
105,MDB,Miteri Development Bank Limited,30.75,355.00,374.80,355.00,374.00,369.88,"10,832.00",360.00,"4,006,534.20",32,14.00,19.80,3.89,5.58,1.10,379.51,380.44,479.10,308.00
106,MEN,Mountain Energy Nepal Limited,25.77,737.10,752.00,737.10,741.10,744.42,650.00,751.10,"483,871.50",24,-10.00,14.90,-1.33,2.02,-0.45,767.50,784.31,"1,065.00",692.00
107,MERO,Mero Microfinance Laghubitta Bittiya Sanstha Limited,26.53,544.00,550.00,544.00,549.90,546.03,"1,053.00",554.30,"574,968.60",26,-4.40,6.00,-0.79,1.10,0.70,707.13,756.66,"1,015.40",523.00
108,MFIL,Manjushree Finance Limited,30.91,430.50,445.00,430.50,441.00,438.91,"11,491.00",433.00,"5,043,547.60",94,8.00,14.50,1.85,3.37,0.47,434.03,435.12,528.00,362.00
